question,right_answer,bot_response
Danh sách các nhóm trong bộ phận DC6 đã thực hiện cải tiến tự động hóa?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC6%') AND Jidouka.ImprovementName LIKE LOWER('%jidouka%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC6%') AND Jidouka.ImprovementName LIKE '%tự động hóa%';
Danh sách các tác giả đã tham gia vào các cải tiến có tổng số giờ tiết kiệm được trên 500 giờ?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.TotalTimeSaved > 500;,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId GROUP BY Author.AuthorName HAVING SUM(Jidouka.TotalTimeSaved) > 500;
Cải tiến nào được thực hiện vào buổi tối ngày 31/12/2023?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DATE(Jidouka.DateCreate) LIKE LOWER('%2023-12-31%') AND HOUR(Jidouka.DateCreate) >= 18;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate LIKE LOWER('%2023-12-31%');
Danh sách các nhóm trong bộ phận DC4 đã thực hiện cải tiến với công cụ CAD?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC4%') AND Tool.ToolName LIKE LOWER('%CAD%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC4%') AND Jidouka.ImprovementName LIKE '%CAD%';
Các nhóm thuộc bộ phận DC5 có công cụ hỗ trợ nào?,"SELECT DISTINCT GroupDC.GroupDCName, Tool.ToolName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC5%');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC5%');
Các nhóm thuộc bộ phận DC5 có công cụ hỗ trợ nào?,"SELECT DISTINCT GroupDC.GroupDCName, Tool.ToolName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC5%');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC5%');
Những cải tiến nào được tạo vào tháng gần đây nhất?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE MONTH(Jidouka.DateCreate) = MONTH(CURDATE()) AND YEAR(Jidouka.DateCreate) = YEAR(CURDATE());,SELECT ImprovementName FROM Jidouka ORDER BY DateCreate DESC LIMIT 1;
Danh sách các nhóm thuộc bộ phận DC5 đã thực hiện cải tiến vào sản phẩm nào?,"SELECT DISTINCT GroupDC.GroupDCName, Jidouka.ProductApply FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC5%');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC5%');
Danh sách các cải tiến được tạo trong năm nay,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = YEAR(CURDATE());,"SELECT ImprovementName FROM Jidouka WHERE DateCreate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR);"
Cải tiến nào được tạo vào 9h sáng ngày 01/01/2024?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DATE(Jidouka.DateCreate) LIKE LOWER('%2024-01-01%') AND HOUR(Jidouka.DateCreate) = 9;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate LIKE LOWER('%2024-01-01%') AND Hour = 9;
Những công việc nào được áp dụng các cải tiến từ nhóm AI?,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%');,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE '%AI%';
Danh sách các bộ phận và nhóm trong bộ phận DC1 đã áp dụng jidouka?,"SELECT DISTINCT Department.DepartmentName, GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE Department.DepartmentName LIKE LOWER('%DC1%') AND Jidouka.ImprovementName LIKE LOWER('%jidouka%');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC1%');
Các nhóm nào trong bộ phận DC5 đã áp dụng công cụ hỗ trợ tự động hóa?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC5%') AND Tool.ToolDescription LIKE LOWER('%hỗ trợ tự động hóa%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC5%') AND Jidouka.SoftwareUsing LIKE LOWER('%hỗ trợ tự động hóa%');
Danh sách các nhóm trong bộ phận DC3 đã sử dụng công cụ hỗ trợ tự động hóa?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC3%') AND Tool.ToolDescription LIKE LOWER('%hỗ trợ tự động hóa%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC3%') AND Tool.ToolDescription LIKE '%hỗ trợ tự động hóa%';
Danh sách các nhóm trong bộ phận DC6 đã sử dụng công cụ hỗ trợ tự động hóa?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC6%') AND Tool.ToolDescription LIKE LOWER('%hỗ trợ tự động hóa%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC6%') AND Jidouka.SoftwareUsing LIKE LOWER('%hỗ trợ tự động hóa%');
Tổng số công cụ đã sử dụng trong các nhóm thuộc bộ phận DC3?,SELECT COUNT(DISTINCT Tool.ToolId) FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC3%');,SELECT COUNT(DISTINCT Tool.ToolName) FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.DepartmentName LIKE LOWER('%DC3%');
Có bao nhiêu cải tiến được tạo ra vào mỗi quý trong năm 2023?,"SELECT QUARTER(Jidouka.DateCreate) AS Quarter, COUNT(*) AS ImprovementCount FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2023 GROUP BY QUARTER(Jidouka.DateCreate);","SELECT QUARTER, COUNT(*) FROM Jidouka WHERE YEAR(DateCreate) = 2023 GROUP BY QUARTER;"
Danh sách các công việc áp dụng cải tiến trong 6 tháng đầu năm 2024,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.DateCreate BETWEEN '2024-01-01' AND '2024-06-30';,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.DateCreate BETWEEN '2024-01-01' AND '2024-06-30';
Cải tiến nào được tạo vào 9h sáng ngày 01/01/2024?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DATE(Jidouka.DateCreate) LIKE LOWER('%2024-01-01%') AND HOUR(Jidouka.DateCreate) = 9;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate LIKE LOWER('%2024-01-01%') AND Hour = 9;
Những cải tiến được tạo trước 12h ngày 25/12/2022 là gì?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DATE(Jidouka.DateCreate) LIKE LOWER('%2022-12-25%') AND HOUR(Jidouka.DateCreate) < 12;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate < '2022-12-25 12:00:00';
Cải tiến nào được thực hiện vào buổi tối ngày 31/12/2023?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DATE(Jidouka.DateCreate) LIKE LOWER('%2023-12-31%') AND HOUR(Jidouka.DateCreate) >= 18;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate LIKE LOWER('%2023-12-31%');
Tác giả nào đã thực hiện cải tiến đầu tiên trong năm 2023?,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.DateCreate >LIKE LOWER('%2023-01-01%') ORDER BY Jidouka.DateCreate ASC LIMIT 1;,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.DateCreate = '2023-01-01';
Có bao nhiêu cải tiến được tạo vào buổi sáng của ngày 15/03/2023?,SELECT COUNT(Jidouka.ImprovementName) FROM Jidouka WHERE DATE(Jidouka.DateCreate) LIKE LOWER('%2023-03-15%') AND HOUR(Jidouka.DateCreate) < 12;,SELECT COUNT(Jidouka.ImprovementName) FROM Jidouka WHERE DateCreate LIKE LOWER('%2023-03-15%') AND HourOfDay >= 6;
Có bao nhiêu cải tiến được tạo ra vào 6 tháng cuối của năm 2023?,SELECT COUNT(Jidouka.ImprovementName) FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2023 AND MONTH(Jidouka.DateCreate) > 6;,SELECT COUNT(Jidouka.ImprovementName) FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2023 AND MONTH(Jidouka.DateCreate) >= 6;
Danh sách các nhóm thuộc bộ phận DC6 và sản phẩm áp dụng cải tiến?,"SELECT DISTINCT GroupDC.GroupDCName, Jidouka.ProductApply FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC6%');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC6%');
Danh sách các nhóm trong bộ phận DC2 đã áp dụng cải tiến vào các sản phẩm?,"SELECT DISTINCT GroupDC.GroupDCName, Jidouka.ProductApply FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC2%');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC2%');
Tác giả nào đã thực hiện cải tiến đầu tiên trong năm 2023?,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.DateCreate >LIKE LOWER('%2023-01-01%') ORDER BY Jidouka.DateCreate ASC LIMIT 1;,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.DateCreate = '2023-01-01';
Danh sách các cải tiến được thực hiện trong 3 ngày gần nhất,"SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.DateCreate >= DATE_SUB(CURDATE(), INTERVAL 3 DAY);","SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate >= DATE_SUB(CURDATE(), INTERVAL 3 DAY);"
Những cải tiến được tạo trước 12h ngày 25/12/2022 là gì?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DATE(Jidouka.DateCreate) LIKE LOWER('%2022-12-25%') AND HOUR(Jidouka.DateCreate) < 12;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate < '2022-12-25 12:00:00';
Danh sách các cải tiến được thực hiện bởi nhóm AI trong năm 2024,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Jidouka.DateCreate >LIKE LOWER('%2024-01-01%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND YEAR(Jidouka.DateCreate) = 2024;
Danh sách các nhóm trong bộ phận AS đã sử dụng công cụ hỗ trợ tự động hóa?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%AS%') AND Tool.ToolDescription LIKE LOWER('%hỗ trợ tự động hóa%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%AS%') AND Tool.ToolDescription LIKE '%hỗ trợ tự động hóa%';
Danh sách các cải tiến được tạo trong năm nay,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = YEAR(CURDATE());,"SELECT ImprovementName FROM Jidouka WHERE DateCreate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR);"
Những cải tiến nào được tạo vào buổi chiều (sau 12h) của ngày 10/10/2024?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DATE(Jidouka.DateCreate) LIKE LOWER('%2024-10-10%') AND HOUR(Jidouka.DateCreate) >= 12;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate LIKE LOWER('%2024-10-10 %') AND Hour BETWEEN 12 AND 17;
Danh sách các nhóm trong bộ phận AS và DC4?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%AS%') OR Department.DepartmentName LIKE LOWER('%DC4%');,"SELECT GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName IN ('AS', 'DC4');"
Danh sách các cải tiến được thực hiện bởi nhóm AI trong năm 2024,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Jidouka.DateCreate >LIKE LOWER('%2024-01-01%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND YEAR(Jidouka.DateCreate) = 2024;
Những cải tiến nào được tạo vào buổi chiều (sau 12h) của ngày 10/10/2024?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DATE(Jidouka.DateCreate) LIKE LOWER('%2024-10-10%') AND HOUR(Jidouka.DateCreate) >= 12;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate LIKE LOWER('%2024-10-10 %') AND Hour BETWEEN 12 AND 17;
Danh sách các nhóm trong bộ phận DC3 đã áp dụng cải tiến tự động hóa?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC3%') AND Jidouka.ImprovementName LIKE LOWER('%jidouka%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC3%') AND Jidouka.ImprovementName LIKE '%tự động hóa%';
Danh sách các công cụ được sử dụng trong cải tiến của nhóm MCV?,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%MCV%');,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.GroupDCId = (SELECT GroupDCId FROM GroupDC WHERE GroupDCName LIKE LOWER('%MCV%'));
Danh sách các bộ phận và nhóm trong bộ phận DC1 đã áp dụng jidouka?,"SELECT DISTINCT Department.DepartmentName, GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE Department.DepartmentName LIKE LOWER('%DC1%') AND Jidouka.ImprovementName LIKE LOWER('%jidouka%');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC1%');
Danh sách các cải tiến được thực hiện trong 3 ngày gần nhất,"SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.DateCreate >= DATE_SUB(CURDATE(), INTERVAL 3 DAY);","SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate >= DATE_SUB(CURDATE(), INTERVAL 3 DAY);"
Những cải tiến nào đã được tạo vào ngày đầu tiên của năm 2023?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DATE(Jidouka.DateCreate) LIKE LOWER('%2023-01-01%');,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate LIKE LOWER('%2023-01-01%');
Danh sách các nhóm trong bộ phận DC6 đã áp dụng cải tiến cho các sản phẩm CAD?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN Job ON Jidouka.JobId = Job.JobId WHERE Department.DepartmentName LIKE LOWER('%DC6%') AND Job.JobName LIKE LOWER('%CAD%') AND Jidouka.ImprovementName LIKE LOWER('%jidouka%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC6%') AND Jidouka.ProductApply LIKE LOWER('%CAD%');
Các cải tiến được thực hiện trong quý 4 năm 2024 là gì?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE QUARTER(Jidouka.DateCreate) = 4 AND YEAR(Jidouka.DateCreate) = 2024;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.DateCreate BETWEEN '2024-04-01' AND '2024-06-30';
Danh sách các nhóm trong DC4 đã thực hiện cải tiến với công cụ CAD?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC4%') AND Tool.ToolName LIKE LOWER('%CAD%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC4%') AND Jidouka.ImprovementName LIKE LOWER('%CAD%');
Có bao nhiêu cải tiến được tạo ra vào mỗi quý trong năm 2023?,"SELECT QUARTER(Jidouka.DateCreate) AS Quarter, COUNT(*) AS ImprovementCount FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2023 GROUP BY QUARTER(Jidouka.DateCreate);","SELECT QUARTER, COUNT(*) FROM Jidouka WHERE YEAR(DateCreate) = 2023 GROUP BY QUARTER;"
Danh sách cải tiến tiết kiệm trên 100 giờ trong năm 2022,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2022 AND Jidouka.TotalTimeSaved > 100;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2022 AND TotalTimeSaved > 100;
Danh sách các nhóm thuộc bộ phận DC5 đã thực hiện cải tiến vào sản phẩm nào?,"SELECT DISTINCT GroupDC.GroupDCName, Jidouka.ProductApply FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC5%');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC5%');
Danh sách các tác giả đã tham gia vào các cải tiến có tổng số giờ tiết kiệm được trên 500 giờ?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.TotalTimeSaved > 500;,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId GROUP BY Author.AuthorName HAVING SUM(Jidouka.TotalTimeSaved) > 500;
Cải tiến nào được tạo vào tháng 2 của năm nay và sử dụng ít nhất một công cụ?,SELECT DISTINCT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId WHERE MONTH(Jidouka.DateCreate) = 2 AND YEAR(Jidouka.DateCreate) = YEAR(CURDATE());,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId WHERE MONTH(Jidouka.DateCreate) = 2 AND YEAR(Jidouka.DateCreate) = YEAR(CURDATE());
Danh sách các nhóm trong bộ phận DC2 đã áp dụng cải tiến vào các sản phẩm?,"SELECT DISTINCT GroupDC.GroupDCName, Jidouka.ProductApply FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC2%');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC2%');
Những cải tiến nào được tạo vào tháng gần đây nhất?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE MONTH(Jidouka.DateCreate) = MONTH(CURDATE()) AND YEAR(Jidouka.DateCreate) = YEAR(CURDATE());,SELECT ImprovementName FROM Jidouka ORDER BY DateCreate DESC LIMIT 1;
